site_clean,year,longitude,latitude,previous_crop,tmean_season,tmax_mean,tmin_mean,heat_days,gdd_total,precip_total,srad_mean
ARH1,2016,-90.759742,34.729884,corn,25.92845108695652,31.601467391304347,20.255434782608695,46,2683.33,415.46999999999997,20.91054347826087
ARH1,2017,-90.759769,34.729874,corn,24.18986413043478,29.940978260869564,18.43875,15,2486.805,593.41,20.191739130434783
ARH1,2018,-90.760887,34.729169,corn,25.632255434782607,30.954021739130436,20.31048913043478,33,2668.765,572.39,20.090869565217393
ARH2,2016,-90.665006,35.838816,soybean,24.031684782608696,29.11195652173913,18.95141304347826,5,2489.27,559.43,20.577608695652174
ARH2,2017,-90.07489,35.674718,corn,23.311820652173914,28.906739130434783,17.716902173913045,9,2379.22,612.02,20.30271739130435
ARH2,2018,-90.075296,35.673794,corn,24.559945652173912,29.465869565217393,19.654021739130435,14,2569.09,651.64,20.179728260869567
COH1,2017,-105.000257,40.647855,sugar beet,17.562771739130433,25.337771739130435,9.787771739130434,9,1574.405,295.56,19.720271739130435
COH1,2021,-104.9957,40.6476,wheat,19.091847826086955,26.96288043478261,11.220815217391305,16,1726.335,229.59,21.51701086956522
COH1,2022,-104.995348,40.653144,Fallow,19.340625,27.331195652173914,11.350054347826086,23,1756.95,233.84,21.598532608695653
COH1,2023,-104.9932,40.6516,Winter Wheat,18.33445652173913,25.961576086956523,10.70733695652174,10,1608.275,384.9,21.305108695652173
DEH1,2014,-75.204048,38.637405,soybean,20.65296195652174,22.68788043478261,18.61804347826087,0,1960.355,580.72,19.26875
DEH1,2015,-75.465973,38.629977,Lima beans followed by rye cover crop,21.95274456521739,26.801847826086956,17.103641304347825,0,2183.81,590.83,19.406684782608696
DEH1,2016,-75.45159,38.64865,soybean,21.88149456521739,26.618695652173912,17.14429347826087,8,2133.9900000000002,797.57,18.93804347826087
DEH1,2017,-75.433932,38.669557,corn,21.572771739130435,26.234945652173913,16.910597826086956,4,2105.13,785.51,18.97625
DEH1,2018,-75.450174,38.649088,corn,22.297853260869566,26.712065217391306,17.883641304347826,0,2259.86,876.07,18.70358695652174
DEH1,2019,-75.4341,38.6698,soybean,22.995652173913044,28.13429347826087,17.85701086956522,9,2301.64,523.15,19.76913043478261
DEH1,2020,-75.466066,38.630059,soybean,21.630244565217392,26.203804347826086,17.056684782608695,2,2114.6150000000002,774.85,19.12711956521739
DEH1,2021,-75.458,38.635,soybean,22.454320652173912,27.34570652173913,17.562934782608696,0,2250.97,606.28,19.261467391304347
DEH1,2022,-75.459,38.638,soybean,22.28288043478261,27.603967391304348,16.96179347826087,10,2174.585,536.93,19.46875
DEH1,2023,-75.466,38.63,soybean,21.60040760869565,26.5725,16.628315217391304,1,2101.65,570.87,19.16619565217391
DEH1,2024,-75.458917,38.637611,Soybean,22.883097826086956,28.221086956521738,17.545108695652175,14,2301.99,375.95,19.26701086956522
GAH1,2014,-83.555016,31.506544,cotton,24.54961956521739,29.747391304347826,19.351847826086956,9,2567.975,535.92,20.85369565217391
GAH1,2015,-83.554962,31.506502,corn,25.316902173913043,30.66244565217391,19.971358695652174,24,2656.97,529.25,20.349891304347825
GAH1,2016,-83.559182,31.50822,peanut,25.79820652173913,31.43554347826087,20.160869565217393,19,2709.53,515.1,21.90570652173913
GAH1,2017,-83.559239,31.508253,corn,24.77108695652174,29.976684782608697,19.565489130434784,6,2629.14,726.4,19.80483695652174
GAH1,2018,-83.55493,31.506548,peanut,25.4075,30.27070652173913,20.54429347826087,3,2730.285,777.36,20.464239130434784
GAH1,2019,-83.55493,31.506548,corn,26.764021739130435,32.42021739130435,21.10782608695652,47,2813.335,604.8,21.122391304347826
GAH1,2020,-83.559249,31.508254,peanut,25.040434782608695,30.22125,19.85961956521739,26,2610.435,632.83,20.042608695652174
GAH1,2021,-83.559249,31.508254,corn,24.261222826086957,29.125489130434783,19.39695652173913,2,2552.25,789.9,19.807717391304347
GAH1,2022,-83.55874,31.50634,peanut,25.469021739130437,31.144728260869567,19.793315217391303,26,2674.995,549.45,20.935326086956522
